run_id,timestamp,brand,keyword,product_count,ad_count,total_daily_units_est,total_monthly_units_est,avg_discount_pct,avg_rating,avg_sov_pct
20260321_161308,2026-03-21T16:13:08,Marks & Spencer,tshirts,3,0,243.1,7293.0,16.7,4.26,13.78
20260321_161308,2026-03-21T16:13:08,Levis,tshirts,2,0,195.5,5865.0,12.0,4.38,11.08
20260321_161308,2026-03-21T16:13:08,DILLINGER,tshirts,5,0,183.3,5499.0,62.8,4.5,10.39
20260321_161308,2026-03-21T16:13:08,H&M,tshirts,9,0,166.2,4986.0,8.5,3.98,9.42
20260321_161308,2026-03-21T16:13:08,KEESOR,tshirts,2,0,160.3,4809.0,61.1,4.4,9.09
20260321_161308,2026-03-21T16:13:08,dostitch,tshirts,1,0,139.5,4185.0,50.1,0.0,7.91
20260321_161308,2026-03-21T16:13:08,Van Heusen,tshirts,4,0,105.9,3177.0,4.5,4.34,6.0
20260321_161308,2026-03-21T16:13:08,U.S. Polo Assn.,tshirts,1,0,97.4,2922.0,0.0,4.24,5.52
20260321_161308,2026-03-21T16:13:08,CORSICA,tshirts,2,0,78.7,2361.0,75.2,4.24,4.46
20260321_161308,2026-03-21T16:13:08,Pepe Jeans,tshirts,2,0,76.7,2301.0,39.0,4.47,4.35
20260321_161308,2026-03-21T16:13:08,Pantaloons Junior,tshirts,1,0,60.2,1806.0,0.0,4.49,3.41
20260321_161308,2026-03-21T16:13:08,HELLCAT,tshirts,1,0,53.4,1602.0,91.0,4.13,3.03
20260321_161308,2026-03-21T16:13:08,U.S. Polo Assn. Kids,tshirts,1,0,47.4,1422.0,59.0,4.59,2.69
20260321_161308,2026-03-21T16:13:08,Dreamz by Pantaloons,tshirts,2,0,30.6,918.0,0.0,4.67,1.73
20260321_161308,2026-03-21T16:13:08,DressBerry,tshirts,1,0,26.0,780.0,71.1,4.29,1.47
20260321_161308,2026-03-21T16:13:08,DAMN GUD DG,tshirts,2,0,23.7,711.0,50.1,4.07,1.34
20260321_161308,2026-03-21T16:13:08,Jockey,tshirts,1,0,20.5,615.0,0.0,4.47,1.16
20260321_161308,2026-03-21T16:13:08,HIGHLANDER,tshirts,2,0,14.3,429.0,84.1,3.77,0.81
20260321_161308,2026-03-21T16:13:08,Rigo,tshirts,1,0,11.2,336.0,72.0,4.06,0.63
20260321_161308,2026-03-21T16:13:08,HRX by Hrithik Roshan,tshirts,1,0,7.8,234.0,59.1,4.39,0.44
20260321_161308,2026-03-21T16:13:08,CULT,tshirts,1,0,5.5,165.0,50.1,4.75,0.31
20260321_161308,2026-03-21T16:13:08,Roadster,tshirts,1,0,4.8,144.0,73.1,4.24,0.27
20260321_161308,2026-03-21T16:13:08,FIONAA TRENDZ,tshirts,1,0,4.3,129.0,50.2,4.46,0.24
20260321_161308,2026-03-21T16:13:08,Nap Chief,tshirts,1,0,3.8,114.0,47.5,4.61,0.22
20260321_161308,2026-03-21T16:13:08,IN Love,tshirts,1,0,2.4,72.0,48.0,4.47,0.14
20260321_161308,2026-03-21T16:13:08,Fabflee,tshirts,1,0,1.9,57.0,81.3,4.29,0.11
20260321_161318,2026-03-21T16:13:18,HOOH Now Comfort in Fashion,sneakers,6,0,313.9,9417.0,64.9,4.28,17.79
20260321_161318,2026-03-21T16:13:18,HRX by Hrithik Roshan,sneakers,4,0,290.0,8700.0,72.4,4.14,16.44
20260321_161318,2026-03-21T16:13:18,Crazyly,sneakers,6,0,280.2,8406.0,76.1,4.39,15.88
20260321_161318,2026-03-21T16:13:18,Pantaloons Junior,sneakers,6,0,246.9,7407.0,2.5,3.84,13.99
20260321_161318,2026-03-21T16:13:18,ONYC,sneakers,2,0,178.0,5340.0,42.2,4.64,10.09
20260321_161318,2026-03-21T16:13:18,U.S. Polo Assn.,sneakers,1,0,157.3,4719.0,53.0,4.38,8.92
20260321_161318,2026-03-21T16:13:18,Red Tape,sneakers,4,0,92.6,2778.0,78.2,4.45,5.25
20260321_161318,2026-03-21T16:13:18,Puma,sneakers,2,0,57.7,1731.0,60.0,4.36,3.27
