run_id,timestamp,product_id,name,brand,category,gender,mrp,price,discount_pct,rating,rating_count,reviews_count,total_inventory,total_exact_inv,size_inventory,sizes_available,out_of_stock_sizes,is_oos,urgency_purchased,urgency_cart,urgency_wishlist,urgency_pdp,is_ad,catalog_date,position,keyword
20260321_161308,2026-03-21T16:13:08,39272406,Marks & Spencer Pure Cotton V-Neck T-Shirt,Marks & Spencer,Tshirts,Women,799.0,559.0,30.0,4.2835822105407715,67,,1,,,XL,,,,,,,False,2026-01-08,1,tshirts
20260321_161308,2026-03-21T16:13:08,12027436,Levis Men Soft Pure Cotton Round Neck Half Sleeve Tshirt,Levis,Lounge Tshirts,Men,649.0,584.0,10.0,4.37544059753418,19870,,977,,,S,,,,,,,False,2020-07-30,2,tshirts
20260321_161308,2026-03-21T16:13:08,35508616,KEESOR Girls Pack Of 3 Cotton Tshirts,KEESOR,Tshirts,Girls,699.0,314.0,55.1,4.267148017883301,554,,1,,,6-12M,,,,,,,False,2025-07-03,3,tshirts
20260321_161308,2026-03-21T16:13:08,40733470,dostitch Boys Polyester Tshirts,dostitch,Tshirts,Boys,999.0,499.0,50.1,0.0,0,,43,,,9-10Y,,,,,,,False,2026-03-12,4,tshirts
20260321_161308,2026-03-21T16:13:08,29961765,DILLINGER Graphic Printed Relaxed Fit Pure Cotton T-shirt,DILLINGER,Tshirts,Women,1399.0,489.0,65.0,4.568906784057617,8780,,298,,,S,,,,,,,False,2024-06-27,5,tshirts
20260321_161308,2026-03-21T16:13:08,39450078,H&M Girls Motif-Detail T-Shirt,H&M,Tshirts,Girls,699.0,629.0,10.0,4.75,40,,375,,,8-10Y,,,,,,,False,2026-01-15,6,tshirts
20260321_161308,2026-03-21T16:13:08,37746974,U.S. Polo Assn. Men Pure Cotton Lounge T-Shirt,U.S. Polo Assn.,Lounge Tshirts,Men,699.0,699.0,0.0,4.239436626434326,71,,7,,,XXL,,,,,,,False,2025-10-30,7,tshirts
20260321_161308,2026-03-21T16:13:08,31354071,Van Heusen Women Cotton Relax Fit Lounge T-Shirt,Van Heusen,Lounge Tshirts,Women,499.0,499.0,0.0,4.275418281555176,777,,226,,,L,,,,,,,False,2024-10-17,8,tshirts
20260321_161308,2026-03-21T16:13:08,32573503,CORSICA Women Bio Finish Striped Round Neck Cotton Relaxed Fit T-shirt,CORSICA,Tshirts,Women,999.0,297.0,70.3,4.28781795501709,7470,,4740,,,S,,,,,,,False,2025-01-30,9,tshirts
20260321_161308,2026-03-21T16:13:08,33353185,Pepe Jeans Men Crew Neck Relaxed Fit Lounge Tshirt,Pepe Jeans,Lounge Tshirts,Men,799.0,487.0,39.0,4.474612712860107,2324,,11,,,L,,,,,,,False,2025-03-27,10,tshirts
20260321_161308,2026-03-21T16:13:08,40320334,Pantaloons Junior Boys Printed Polo Collared Short Sleeves T-shirt,Pantaloons Junior,Tshirts,Boys,399.0,399.0,0.0,4.493333339691162,75,,331,,,3-4Y,,,,,,,False,2026-02-26,11,tshirts
20260321_161308,2026-03-21T16:13:08,22204272,HELLCAT Boys Pack Of 3 Printed Cotton T-shirt,HELLCAT,Tshirts,Boys,3897.0,349.0,91.0,4.125712871551514,9291,,2,,,9-10Y,,,,,,,False,2023-04-27,12,tshirts
20260321_161308,2026-03-21T16:13:08,30462329,U.S. Polo Assn. Kids Sequinned Brand Logo Pure Cotton T-shirt,U.S. Polo Assn. Kids,Tshirts,Girls,899.0,369.0,59.0,4.586206912994385,29,,41,,,9-10Y,,,,,,,False,2025-02-27,13,tshirts
20260321_161308,2026-03-21T16:13:08,39272407,Marks & Spencer Pure Cotton V-Neck T-Shirt,Marks & Spencer,Tshirts,Women,799.0,719.0,10.0,4.230769157409668,65,,6,,,S,,,,,,,False,2026-01-08,14,tshirts
20260321_161308,2026-03-21T16:13:08,29459048,DILLINGER Women Graphic Printed Embossed Oversized T-shirt,DILLINGER,Tshirts,Women,1399.0,489.0,65.0,4.5398125648498535,8653,,27,,,L,,,,,,,False,2024-05-16,15,tshirts
20260321_161308,2026-03-21T16:13:08,39331404,H&M Fitted Cotton T-Shirt,H&M,Tshirts,Women,699.0,699.0,0.0,4.235635757446289,1723,,219,,,S,,,,,,,False,2026-01-08,16,tshirts
20260321_161308,2026-03-21T16:13:08,37624126,Dreamz by Pantaloons Women Striped Pure Cotton Lounge Tshirts,Dreamz by Pantaloons,Lounge Tshirts,Women,599.0,599.0,0.0,4.628571510314941,35,,21,,,XXL,,,,,,,False,2025-10-23,17,tshirts
