platform,brand,product_count,total_daily_units_est,total_monthly_units_est,location,scraped_at
myntra,Nike,217,899.5,26985.0,,2026-03-22T12:18:30
myntra,URKNIT,4,598.0,17940.0,,2026-03-22T12:18:30
myntra,CMF by Nothing,7,510.7,15321.0,,2026-03-22T12:18:30
myntra,FEMMIBELLA,7,289.2,8676.0,,2026-03-22T12:18:30
myntra,Fabme,4,202.7,6081.0,,2026-03-22T12:18:30
myntra,deconstruct,1,200.0,6000.0,,2026-03-22T12:18:30
myntra,Ethnic Yard,1,200.0,6000.0,,2026-03-22T12:18:30
myntra,don't Shy,1,200.0,6000.0,,2026-03-22T12:18:30
myntra,Cetaphil,1,177.4,5322.0,,2026-03-22T12:18:30
myntra,OCTICS,4,167.3,5019.0,,2026-03-22T12:18:30
myntra,VAMA,21,158.1,4743.0,,2026-03-22T12:18:30
myntra,LOreal Professionnel,2,157.3,4719.0,,2026-03-22T12:18:30
myntra,Plum,1,139.5,4185.0,,2026-03-22T12:18:30
myntra,WishCare,2,136.5,4095.0,,2026-03-22T12:18:30
myntra,Koburg,4,135.1,4053.0,,2026-03-22T12:18:30
myntra,NOISE,4,127.6,3828.0,,2026-03-22T12:18:30
myntra,MANOJAVA,6,124.9,3747.0,,2026-03-22T12:18:30
myntra,Parmila Fashion,2,123.8,3714.0,,2026-03-22T12:18:30
myntra,ZHOF,1,123.8,3714.0,,2026-03-22T12:18:30
myntra,nervfit,9,121.8,3654.0,,2026-03-22T12:18:30
myntra,KALAMIR,2,116.7,3501.0,,2026-03-22T12:18:30
myntra,SANISA,6,112.2,3366.0,,2026-03-22T12:18:30
myntra,FashionsEye,3,102.6,3078.0,,2026-03-22T12:18:30
myntra,Blue Heaven,1,97.4,2922.0,,2026-03-22T12:18:30
myntra,VIMALNATH SYNTHETICS,1,97.4,2922.0,,2026-03-22T12:18:30
myntra,DressBerry X fwd,2,93.9,2817.0,,2026-03-22T12:18:30
myntra,PIMU,7,87.2,2616.0,,2026-03-22T12:18:30
myntra,STAVA CREATION,4,86.4,2592.0,,2026-03-22T12:18:30
myntra,ELLE,1,86.3,2589.0,,2026-03-22T12:18:30
myntra,HOOH Now Comfort in Fashion,6,79.6,2388.0,,2026-03-22T12:18:30
myntra,KOTTY BIZwear,3,74.8,2244.0,,2026-03-22T12:18:30
myntra,You Got Plan B,8,68.0,2040.0,,2026-03-22T12:18:30
myntra,O3,1,67.9,2037.0,,2026-03-22T12:18:30
myntra,PUMA Motorsport,20,65.4,1962.0,,2026-03-22T12:18:30
myntra,Paramparik Textile,2,60.2,1806.0,,2026-03-22T12:18:30
myntra,KI STUDIO,7,55.3,1659.0,,2026-03-22T12:18:30
myntra,Titan,1,53.4,1602.0,,2026-03-22T12:18:30
myntra,Arbiter Collection,2,53.4,1602.0,,2026-03-22T12:18:30
myntra,VALUSHA,8,52.7,1581.0,,2026-03-22T12:18:30
myntra,Mitera,13,51.4,1542.0,,2026-03-22T12:18:30
myntra,Nautica,5,50.9,1527.0,,2026-03-22T12:18:30
myntra,TYBELT,5,47.5,1425.0,,2026-03-22T12:18:30
myntra,Sunsilk,1,47.4,1422.0,,2026-03-22T12:18:30
myntra,MUKUNDU,1,47.4,1422.0,,2026-03-22T12:18:30
myntra,Chaukas,1,47.4,1422.0,,2026-03-22T12:18:30
myntra,Anshenterpris,1,47.4,1422.0,,2026-03-22T12:18:30
myntra,SASSAFRAS worklyf,1,47.4,1422.0,,2026-03-22T12:18:30
myntra,NWH,4,45.0,1350.0,,2026-03-22T12:18:30
myntra,MANQ,1,42.0,1260.0,,2026-03-22T12:18:30
myntra,Biotique,2,42.0,1260.0,,2026-03-22T12:18:30
myntra,Tankori,1,42.0,1260.0,,2026-03-22T12:18:30
myntra,Zastraa,4,38.6,1158.0,,2026-03-22T12:18:30
myntra,PHYSIL,5,37.3,1119.0,,2026-03-22T12:18:30
myntra,Digital Dress Room,1,37.3,1119.0,,2026-03-22T12:18:30
myntra,Stylum,2,33.1,993.0,,2026-03-22T12:18:30
myntra,LEGEND EYEWEAR,2,33.1,993.0,,2026-03-22T12:18:30
myntra,GUBB,1,29.3,879.0,,2026-03-22T12:18:30
myntra,SG LEMAN,5,29.3,879.0,,2026-03-22T12:18:30
myntra,Rujave,1,29.3,879.0,,2026-03-22T12:18:30
myntra,HAYDEN haiza,6,28.4,852.0,,2026-03-22T12:18:30
myntra,TRENDS OF ETHNIC,2,28.1,843.0,,2026-03-22T12:18:30
myntra,kasee,8,26.9,807.0,,2026-03-22T12:18:30
myntra,EWWE,3,26.1,783.0,,2026-03-22T12:18:30
myntra,Sa Rasa,1,26.0,780.0,,2026-03-22T12:18:30
myntra,SHONA'S STYLE,2,26.0,780.0,,2026-03-22T12:18:30
myntra,DILLINGER,9,25.6,768.0,,2026-03-22T12:18:30
myntra,DDecor,1,23.1,693.0,,2026-03-22T12:18:30
myntra,rarethread,1,23.1,693.0,,2026-03-22T12:18:30
myntra,Classy Creation,1,23.1,693.0,,2026-03-22T12:18:30
myntra,GC PREMIUM JEWELLERY,3,22.1,663.0,,2026-03-22T12:18:30
myntra,Realme,3,21.5,645.0,,2026-03-22T12:18:30
myntra,PLANX,10,16.3,489.0,,2026-03-22T12:18:30
myntra,Milton,1,16.1,483.0,,2026-03-22T12:18:30
