platform,product_id,name,brand,keyword,daily_units_est,monthly_units_est,confidence,location,scraped_at
myntra,13733778,Allen Solly Men Coffee Brown Solid Two Fold Leather Wallet,Allen Solly,men,109.8,3294.0,low,,2026-03-22T12:18:30
myntra,10777836,MANQ Men Black Slim Fit Solid Single Breasted Formal Blazer,MANQ,men,42.0,1260.0,low,,2026-03-22T12:18:30
myntra,17871508,Pepe Jeans Men Black Solid Regular Fit Athleisure Cotton Lounge Pants,Pepe Jeans,men,20.5,615.0,low,,2026-03-22T12:18:30
myntra,26179948,Jack & Jones Men Printed Sliders,Jack & Jones,men,14.3,429.0,low,,2026-03-22T12:18:30
myntra,20013756,Jack & Jones Men Embroidered Baseball Cap,Jack & Jones,men,12.7,381.0,low,,2026-03-22T12:18:30
myntra,13036796,WROGN Men Silver-Toned Analogue Watch WRG00048A,WROGN,men,7.8,234.0,low,,2026-03-22T12:18:30
myntra,28297410,HRX by Hrithik Roshan Men Striped Rapid-Dry Sports Tracksuit,HRX by Hrithik Roshan,men,4.8,144.0,low,,2026-03-22T12:18:30
myntra,30919075,Jack & Jones Men Graphic Printed Pyjama,Jack & Jones,men,3.4,102.0,low,,2026-03-22T12:18:30
myntra,39378989,Allen Solly Men Broad Tie,Allen Solly,men,0.2,6.0,low,,2026-03-22T12:18:30
myntra,7669599,Roadster Men Into The Woods Body Spray 150 ml,Roadster,men,0.1,3.0,low,,2026-03-22T12:18:30
myntra,24146748,Pepe Jeans Men Mid Rise Lounge Shorts,Pepe Jeans,men,0.1,3.0,low,,2026-03-22T12:18:30
myntra,24781978,See Designs Mid-Rise Pure Cotton Pyjama,See Designs,men,0.1,3.0,low,,2026-03-22T12:18:30
myntra,30892518,Beyoung Men Loose-Fit Cotton Lounge Pants,Beyoung,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,8717979,Mast & Harbour Men Blue & White Slim Fit Striped Casual Shirt,Mast & Harbour,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,25284308,Pepe Jeans Men Mock Collar Athleisure Tracksuits,Pepe Jeans,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,18240556,INVICTUS Men Blue Solid Slim Fit Single Breasted Blazer,INVICTUS,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,33931178,The Roadster Lifestyle Co Men Round Toe Comfort Sandals,Roadster,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,30191747,U.S. Polo Assn. Men Mid-Rise IYBF Knit Lounge Shorts,U.S. Polo Assn.,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,33744049,The Roadster Lifestyle Co Men Set Of 2 Textured Genuine Leather Formal Belts,Roadster,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,32581260,HRX by Hrithik Roshan Men Mid-Rise Track Pants,HRX by Hrithik Roshan,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,38225316,H&M Slim Fit Long-Sleeve Polo Shirt,H&M,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,32332039,Provogue Men Textured Leather Belt,Provogue,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,30300351,Roadster Men Turtle Neck Pullover,Roadster,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,16917322,Alvaro Castagnino Men Black Skinny Tie,Alvaro Castagnino,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,28062156,VASTRAMAY Men Veshti Pant,VASTRAMAY,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,17091614,Roadster Men White Classic Regular Fit Cotton Casual Shirt,Roadster,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,9054155,Allen Solly Men White Accessory Gift Set,Allen Solly,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,26315332,Roadster Black Leather Belt,Roadster,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,13036770,WROGN Men Grey Analogue Watch WRG00040C,WROGN,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,37670237,GAP Men Ribbed Round Neck Long Sleeves Pullover Sweater,GAP,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,37187670,Roadster The Lifestyle Co. Men Self Design Pullover,Roadster,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,33840251,VOLTEDGE Men Relaxed Windowpane Checks Checked Casual Shackets,VOLTEDGE,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,27303974,Jompers Regular Kurta with Salwar,Jompers,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,33629783,MISCHIEF MONKEY Men Solid Cotton Casual Shacket,MISCHIEF MONKEY,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,36840133,AfroJack Men Velcro Comfort Sandals,AfroJack,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,24890016,MYTRIDENT Navy Blue Solid Pure Cotton 400GSM Super Soft Adult Regular Bath Towel-28x55In,MYTRIDENT,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,15110508,HOSTA HOMES Off White Set of 2 Embellished Square Cushion Covers,HOSTA HOMES,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,38312501,Jack & Jones Men Ribbed Pullover,Jack & Jones,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,24890062,MYTRIDENT Brown Self-Designed 400 GSM Pure Cotton Bath Towel,MYTRIDENT,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,36028754,Ved Sanjeevani Digestion & Detox Nabhi Oil- 30 ml,Ved Sanjeevani,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,35421155,GLAMVEDA Natural Water Proof & Smudge Proof Hair Colour Touch-Up Stick - 4 g - Black,GLAMVEDA,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,39976790,Kashyapa Rugs Multicoloured Floral Square Cushion Covers,Kashyapa Rugs,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,28977164,Kuber Industries White 12 pcs Textured Lightweight Planters,Kuber Industries,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,22455554,Aravi Organic Pure & Natural Rosemary Essential Oil For Hair Growth - 15ml,Aravi Organic,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,36814064,Aetrius Green King Size Foldable Tent Mosquito Net,Aetrius,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,29065124,REVEXO Burgundy & White 5 Pieces Printed Fridge Top Cover Handle Covers & Mats,REVEXO,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,26967952,El Paso Men Slip-On Comfort Sandals,El Paso,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,15734046,Vaseline Lip Therapy Tins For Moisturised & Soft Lips 17g - Rosy Lips,Vaseline,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,38831878,Sangria Olive Color 300 TC King Double Bedsheet With 2 Pillow Covers-2.74 m x 2.74 m,Sangria,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,32108718,NEEMANS Breezy Fluff Sandals,NEEMANS,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,28344808,Artisyn Set of 9 Multicolour Holi Water Balloons,Artisyn,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,36925808,El Paso Men Olive Comfort Sandals,El Paso,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,36508367,EKATVA ETHNIC Men Cotton Peshawari Plain Dhoti Pants,EKATVA ETHNIC,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,36449891,SELLORIA Men Pack Of 2 Baseball Cap,SELLORIA,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,2364181,Revlon Top Speed Hair Color - Women - Natural Black 70,Revlon,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,19736154,HOUSE OF QUIRK Women Black Printed Makeup Cosmetic Storage Case,HOUSE OF QUIRK,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,28297408,HRX by Hrithik Roshan Men Rapid-Dry Sports Tracksuit,HRX by Hrithik Roshan,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,30531142,DAMENSCH Better Blue Solid Pure Cotton 500GSM Super Soft Adult Regular Bath Towel-56x30In,DAMENSCH,men,0.0,0.0,low,,2026-03-22T12:18:30
myntra,31111502,BEHOMA Gold Toned Small Fluted Metal Planter With Stand,BEHOMA,men,0.0,0.0,low,,2026-03-22T12:18:30
